state,date,temp,avgTemp
Alabama,1980,62.5,-1.2
Alabama,1981,62,-1.7
Alabama,1982,63.3,-0.4
Alabama,1983,61.2,-2.5
Alabama,1984,62.8,-0.9
Alabama,1985,62.8,-0.9
Alabama,1986,64.1,0.4
Alabama,1987,63,-0.7
Alabama,1988,62.1,-1.6
Alabama,1989,62.2,-1.5
Alabama,1990,64.9,1.2
Alabama,1991,64,0.3
Alabama,1992,62.1,-1.6
Alabama,1993,62.3,-1.4
Alabama,1994,63.1,-0.6
Alabama,1995,63,-0.7
Alabama,1996,62.1,-1.6
Alabama,1997,62.4,-1.3
Alabama,1998,65.1,1.4
Alabama,1999,64.1,0.4
Alabama,2000,63.6,-0.1
Alabama,2001,63,-0.7
Alabama,2002,63.6,-0.1
Alabama,2003,62.7,-1
Alabama,2004,63.3,-0.4
Alabama,2005,63.4,-0.3
Alabama,2006,64.2,0.5
Alabama,2007,64.4,0.7
Alabama,2008,62.9,-0.8
Alabama,2009,62.9,-0.8
Alabama,2010,62.7,-1
Alabama,2011,63.8,0.1
Alabama,2012,64.9,1.2
Alabama,2013,62.6,-1.1
Alabama,2014,62,-1.7
Alabama,2015,64.6,0.9
Alabama,2016,65.4,1.7
Alaska,1980,26.5,-3.5
Alaska,1981,29.2,-0.8
Alaska,1982,25.3,-4.7
Alaska,1983,26.9,-3.1
Alaska,1984,25.3,-4.7
Alaska,1985,26.3,-3.7
Alaska,1986,26.9,-3.1
Alaska,1987,27.5,-2.5
Alaska,1988,27.1,-2.9
Alaska,1989,26.8,-3.2
Alaska,1990,25.4,-4.6
Alaska,1991,27,-3
Alaska,1992,25,-5
Alaska,1993,29.9,-0.1
Alaska,1994,26.2,-3.8
Alaska,1995,27.8,-2.2
Alaska,1996,25.1,-4.9
Alaska,1997,28.1,-1.9
Alaska,1998,28.4,-1.6
Alaska,1999,24,-6
Alaska,2000,28.4,-1.6
Alaska,2001,27.3,-2.7
Alaska,2002,30.1,0.1
Alaska,2003,29.1,-0.9
Alaska,2004,29.3,-0.7
Alaska,2005,29.2,-0.8
Alaska,2006,26.4,-3.6
Alaska,2007,28.1,-1.9
Alaska,2008,25.1,-4.9
Alaska,2009,26.8,-3.2
Alaska,2010,27.4,-2.6
Alaska,2011,27,-3
Alaska,2012,24.3,-5.7
Alaska,2013,27.8,-2.2
Alaska,2014,30.3,0.3
Alaska,2015,30,0
Alaska,2016,31.9,1.9
Arizona,1980,60.2,-1.5
Arizona,1981,61.3,-0.4
Arizona,1982,58.7,-3
Arizona,1983,59.2,-2.5
Arizona,1984,59.4,-2.3
Arizona,1985,59.6,-2.1
Arizona,1986,60.6,-1.1
Arizona,1987,59.3,-2.4
Arizona,1988,60.2,-1.5
Arizona,1989,61.2,-0.5
Arizona,1990,59.7,-2
Arizona,1991,59.3,-2.4
Arizona,1992,59.6,-2.1
Arizona,1993,59.8,-1.9
Arizona,1994,60.6,-1.1
Arizona,1995,61,-0.7
